AbstractionError;TopLevelViolation Abstracted;topLevelViolationActualCentral;topLevelViolationActualRegioCentral;relativeTLViolationCentral;relativeTLViolationRegioCentral;topLevelViolationAbstractedRel;abstractionErrorRel;variableAbstraction;runtimePerStepCentral;runtimePerStepRegioCentral;runtimePerAvppPerStep;unsolvedCentralAllocations;Totalruntimecentral;Totalruntimeregiocentral;timestamps;Toplevelcostscentral;Toplevelcostsregiocentral;Rootcostsregiocentral;Longest serial path
0.0;3.637978807091713E-12;7.275957614183426E-12;3.637978807091713E-12;3.726567613885912E-16;1.8632839023758023E-16;1.8632839023758023E-16;0.0;2.9544E-4;1.623293552;4.722642464000001;0.9150298560000001;0.0;88.46716193600001;244.95552497600002;1.424707751948E12;2480.2188496181216;2487.5565869082143;2484.743418989675;2.81406832E8
0.0;3.637978807091713E-12;3.637978807091713E-12;0.0;1.9078476734664018E-16;0.0;1.907847773518742E-16;0.0;3.1587200000000003E-4;2.0804256960000003;4.841397456;0.132042864;0.0;157.62540868800002;295.25170872;1.424708085586E12;2397.2209727074196;2406.436241464379;2403.5484626361804;1.235020832E9
0.0;0.0;3.637978807091713E-12;0.0;1.9715455594450652E-16;0.0;0.0;0.0;3.08464E-4;1.702452128;4.8196925440000005;1.0856568640000002;0.0;137.52722123200002;306.52866776;1.424708538685E12;2285.093458588273;2295.118371418606;2295.1183714186054;1.49363968E8
0.0;0.0;0.0;9.822542779147625E-11;0.0;5.433481654189541E-15;0.0;2.1141191940042606E-16;2.7668800000000003E-4;1.7085247360000002;4.1236863040000005;0.147102848;0.0;1955.288132608;249.686250384;1.424708982997E12;1905.2404784015023;1913.0875597656068;1879.619480540436;1.009264864E9
0.0;3.637978807091713E-12;3.637978807091713E-12;0.0;2.025906799498204E-16;0.0;2.0259069123163044E-16;0.0;2.54672E-4;1.447045248;3.4488825920000004;0.8621620160000001;0.0;95.31719374400001;272.659278912;1.424711188653E12;1846.0120072446075;1862.440148475969;1851.3306518158447;1.22027248E9
0.0;1.8189894035458565E-12;0.0;1.0913936421275139E-11;0.0;6.669299049146092E-16;1.1115498415243488E-16;0.0;2.71856E-4;1.469184832;3.384660336;1.0731696320000002;0.0;;;;1596.6304843411608;1606.765759126919;1602.0372515609613;1.048369632E9
0.0;0.0;3.637978807091713E-12;0.0;2.192323127393889E-16;0.0;0.0;0.0;2.7899200000000004E-4;1.1141932;2.925485392;0.901266784;0.0;;;;1632.5307311332015;1640.1009615222436;1637.616621663867;3.0137264E8
0.0;0.0;0.0;3.637978807091713E-12;0.0;2.1246478738508992E-16;0.0;0.0;2.77712E-4;1.1498041920000002;2.6711444;0.15426979200000002;0.0;;;;1715.1672973185;1715.7882136013245;1719.7919858996515;1.327521392E9
0.0;0.0;3.637978807091713E-12;0.0;2.1527705841286876E-16;0.0;0.0;0.0;2.84512E-4;0.909045568;2.6201116;1.1804185440000001;0.0;;;;1680.0862391150267;1685.447816579784;1684.8948224918606;1.47102848E8
0.0;3.637978807091713E-12;3.637978807091713E-12;0.0;2.2094047552090907E-16;0.0;2.2094048893899072E-16;0.0;3.01408E-4;0.861752096;2.510180672;0.14089980800000002;0.0;;;;1612.5960025468805;1622.8193839568555;1617.746842581493;8.21579216E8
0.0;3.637978807091713E-12;3.637978807091713E-12;1.8189894035458565E-11;2.3234213713308275E-16;1.1617107598589084E-15;2.323421519717817E-16;0.0;0.013119728;0.997027568;2.6276089440000003;0.680679408;0.0;;;;1487.34076550837;1492.5439029698819;1492.8808931789895;1.208227168E9
0.0;1.8189894035458565E-12;1.8189894035458565E-12;0.0;1.150449616019434E-16;0.0;1.1504496887815073E-16;0.0;3.00384E-4;1.0673624160000001;2.553303536;1.0673273600000002;0.0;;;;1510.3305809594829;1516.2855504725842;1516.4073971104467;1.042635024E9
0.0;1.8189894035458565E-12;3.637978807091713E-12;1.8189894035458565E-12;2.2432675474088945E-16;1.121633842867159E-16;1.121633842867159E-16;0.0;2.70048E-4;1.1524926400000002;3.17584504;0.9017352160000001;0.0;;;;1573.4078920313598;1585.5664695113055;1579.2513358407737;2.90627968E8
9.094947017729282E-13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.68464E-4;2.1186742080000003;2.6898323840000002;0.14972816;0.0;;;;1634.1153147783377;1638.816171138583;1639.188582014551;1.186159472E9
0.0;1.8189894035458565E-12;1.8189894035458565E-12;0.0;1.1182114338931675E-16;0.0;1.1182115026344634E-16;0.0;2.7822400000000004E-4;1.203812912;2.733160944;1.045259664;0.0;;;;1581.2065746746969;1592.2052828294957;1586.9384222053452;1.40899808E8
0.0;1.8189894035458565E-12;1.8189894035458565E-12;3.637978807091713E-12;1.1859699647211135E-16;2.3719400840912697E-16;1.1859700420456349E-16;2.0744837328532175E-16;3.1304E-4;1.3498130720000001;2.954328272;0.152641056;0.0;;;;1439.7695330045228;1443.9307908186224;1443.9413972774778;1.016155296E9
0.0;1.8189894035458565E-12;3.637978807091713E-12;0.0;2.265349519759808E-16;0.0;1.1326748304109466E-16;0.0;2.94304E-4;0.7901403520000001;3.050952976;0.8635142400000001;0.0;;;;1549.0861606441242;1564.2641452397067;1554.7683036910253;1.212695744E9
0.0;0.0;3.637978807091713E-12;1.8189894035458565E-12;2.2246199516884124E-16;1.1123100438618405E-16;0.0;0.0;2.95664E-4;0.8971154240000001;2.7187005760000003;1.0600546880000001;0.0;;;;1594.8722317869845;1603.8738202695522;1600.3050914293153;1.12434112E9
0.0;0.0;3.637978807091713E-12;3.637978807091713E-12;2.249655000957543E-16;2.2496551400718207E-16;0.0;0.0;2.82016E-4;0.843890208;3.157830016;0.9717000640000001;0.0;;;;1566.1926885730682;1579.2693761543762;1572.1199424664114;2.88819952E8
0.0;0.0;0.0;2.3646862246096134E-11;0.0;1.5597187046111488E-15;0.0;0.0;2.9336E-4;0.936639136;2.7210359360000003;0.13617889600000002;0.0;;;;1412.993004373654;1417.708059540584;1417.4839138818688;1.172624304E9
0.0;0.0;1.8189894035458565E-12;1.8189894035458565E-12;1.1303665522383822E-16;1.1303666224822562E-16;0.0;0.0;2.876E-4;1.1712588640000001;2.883268128;1.019983248;0.0;;;;1553.8293959480472;1568.8336177245226;1559.8471373718185;1.52641056E8
0.0;0.0;3.637978807091713E-12;3.637978807091713E-12;2.197944655033328E-16;2.197944787825773E-16;0.0;0.0;2.8056E-4;1.2951320800000001;3.2239751680000004;0.160712352;0.0;;;;1625.8847361932949;1630.7070861429413;1631.0434244012927;8.22680032E8
0.0;0.0;3.637978807091713E-12;0.0;2.184090764179328E-16;0.0;0.0;0.0;2.94768E-4;1.278028352;3.257593184;0.6619676800000001;0.0;;;;1642.2324498135538;1646.9949499131399;1647.3037021688795;1.228568992E9
0.0;0.0;3.637978807091713E-12;3.637978807091713E-12;2.1984233636635655E-16;2.1984234965138606E-16;0.0;0.0;2.74384E-4;1.3753236320000002;2.8294721760000003;1.06785664;0.0;;;;1625.320886093582;1631.599640776026;1630.485228289505;1.056126912E9
0.0;0.0;3.637978807091713E-12;0.0;2.1798182781396248E-16;0.0;0.0;0.0;2.77024E-4;1.742704032;3.1148598400000003;0.8954145600000001;0.0;;;;1647.454404281679;1652.971314616239;1652.360007755475;3.27208E8
0.0;0.0;0.0;3.637978807091713E-12;0.0;2.1481235481153946E-16;0.0;0.0;2.72672E-4;1.1618076960000001;3.656241552;0.16649564800000002;0.0;;;;1685.7949254750415;1688.961752381029;1690.598390673105;1.190189104E9
0.0;0.0;1.8189894035458565E-11;0.0;1.0965716838658195E-15;0.0;0.0;1.3012531695635045E-16;2.54336E-4;1.756080416;3.8683912960000004;1.029476752;0.0;;;;1632.0521640372035;1639.3257756838568;1636.6554229780977;1.60712352E8
0.0;0.0;3.637978807091713E-12;0.0;2.1188318602849094E-16;0.0;0.0;0.0;2.84016E-4;1.0952392480000002;3.5709137280000003;0.1506608;0.0;;;;1722.6054873718056;1723.7229011792137;1727.124424569439;8.2929712E8
9.094947017729282E-13;0.0;0.0;3.637978807091713E-12;0.0;2.1051647335643703E-16;0.0;0.0;2.71632E-4;1.311166992;3.6553423680000003;0.6786363200000001;0.0;;;;1740.0492098592294;1742.5879636447694;1744.5150124324114;1.222187632E9
0.0;3.637978807091713E-12;3.637978807091713E-12;3.637978807091713E-12;2.0014353896754202E-16;2.0014354997844685E-16;2.0014354997844685E-16;0.0;2.60464E-4;0.9213449600000001;3.8135786720000002;1.071526832;0.0;;;;1880.852832274458;1882.8465833484834;1887.4635474996576;1.359645232E9
0.0;3.637978807091713E-12;3.637978807091713E-12;3.637978807091713E-12;2.0414046676949603E-16;2.0414047822457445E-16;2.0414047822457445E-16;0.0;2.71552E-4;1.077960736;3.671692944;1.208984432;0.0;;;;1824.354764823422;1826.3798433858155;1829.5035574167582;3.01589552E8
0.0;0.0;0.0;3.637978807091713E-12;0.0;1.950798149569789E-16;0.0;0.0;2.4356800000000002E-4;1.4979663680000002;3.6258096;0.150928752;0.0;;;;1955.209047743079;1961.1773751517615;1965.2368389195624;1.269273088E9
0.0;0.0;3.637978807091713E-12;7.275957614183426E-12;1.9611831281794827E-16;3.9223664678082165E-16;0.0;2.067174636205273E-16;2.83696E-4;1.4235064160000002;3.8582609600000004;1.118612288;0.0;;;;1939.45999022838;1945.593512537808;1948.9396302245145;1.506608E8
0.0;0.0;3.637978807091713E-12;0.0;1.9555298897940006E-16;0.0;0.0;0.0;2.54112E-4;1.440122448;3.896460208;0.14419936;0.0;;;;1947.959700527643;1953.7956751706165;1957.789734717177;8.28154592E8
0.0;3.637978807091713E-12;3.637978807091713E-12;7.275957614183426E-12;1.8897752665414682E-16;3.779550729414522E-16;1.889775364707261E-16;0.0;2.54384E-4;2.558449312;4.191754016;0.6839552320000001;0.0;;;;2052.1860295588313;2062.337116460982;2062.5147638804533;1.188430048E9
0.0;3.637978807091713E-12;0.0;3.637978807091713E-12;0.0;1.8288841622868208E-16;1.8288841622868208E-16;2.0005632960060957E-16;2.54272E-4;2.641916352;4.101221088;1.044230688;0.0;;;;2158.6471081952777;2167.8553997777076;2168.1328245761842;2.005236592E9
0.0;3.637978807091713E-12;7.275957614183426E-12;0.0;3.612499120314707E-16;0.0;1.8062496498373052E-16;0.0;2.4956800000000003E-4;2.178592144;4.038143440000001;1.8610372320000002;0.0;;;;2199.9211684167562;2210.5735845916365;2209.270606851751;2.84110896E8
0.0;3.637978807091713E-12;3.637978807091713E-12;0.0;1.884158110510515E-16;0.0;1.8841582080936007E-16;0.0;2.78512E-4;2.256510496;3.9474523040000005;0.139911536;0.0;;;;2061.83931479977;2071.343622957022;2071.9595863002705;1.0659864E9
0.0;3.637978807091713E-12;3.637978807091713E-12;0.0;1.8406810254109992E-16;0.0;1.84068111854257E-16;0.0;3.19472E-4;3.9665328320000004;3.7837459200000003;0.92178704;0.0;;;;2137.2913120195713;2147.396320007484;2147.0931548238877;1.4419936E8
0.0;0.0;3.637978807091713E-12;7.275957614183426E-12;1.7713022084814564E-16;3.542604589449441E-16;0.0;0.0;2.57424E-4;2.4260758080000002;3.916522688;0.13787259200000002;0.0;;;;2265.6637014250277;2276.852772629532;2275.30762248054;8.547504E8
0.0;0.0;7.275957614183426E-12;3.637978807091713E-12;3.6243710610368593E-16;1.8121856207887896E-16;0.0;0.0;2.63152E-4;2.163630864;4.139011504;0.716877808;0.0;;;;2189.1563774142164;2198.4687201990573;2198.3826844469754;1.195993312E9
9.094947017729282E-13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.4697600000000004E-4;1.357745376;4.741450240000001;1.05812072;0.0;;;;2233.9998177142534;2243.78164690086;2243.4925899059062;1.210980656E9
0.0;3.637978807091713E-12;7.275957614183426E-12;3.637978807091713E-12;3.6285865191949534E-16;1.814293350077943E-16;1.814293350077943E-16;0.0;2.4544000000000004E-4;1.370418944;4.5341413280000005;1.0731080640000001;0.0;;;;2185.4598487940125;2194.9708779427588;2194.5337692019743;2.71703328E8
